id;name;date_started;date_ended;goal_date;starting_body_weight;ending_body_weight
1;USB;2021-11-07;2021-11-08;2021-11-08;11116;66601
2;Democratic Rand;2021-11-07;2021-11-07;2021-11-08;72001;7506
3;copying;2021-11-07;2021-11-07;2021-11-07;23445;66677
4;Unit;2021-11-08;2021-11-08;2021-11-07;58839;75756
5;plug-and-play Identity;2021-11-07;2021-11-08;2021-11-07;35296;8728
6;Focused Square;2021-11-07;2021-11-07;2021-11-07;3884;32142
7;Club;2021-11-08;2021-11-08;2021-11-07;15262;54891
8;Horizontal Towels Interactions;2021-11-08;2021-11-08;2021-11-07;69577;79714
9;strategic;2021-11-07;2021-11-07;2021-11-07;84224;47681
10;e-business Forward Product;2021-11-08;2021-11-08;2021-11-08;99755;49840
